house size(ft),price($)
1194,350000
4696,756000
1988,445000
5414,1072000
5303,950000
1142,280000
4792,859000
2391,399000
1440,399000
2201,630000
4626,835000
1944,430000
6240,1495000
3600,765000
4982,900000
3794,789000
3033,699900
4853,1325000
4515,925000
3448,788500
3238,802000
2786,704990
2520,700950
2813,750990
3552,765000
2656,500000
1088,314995
1475,494950
1013,299000
